;№ КП;дата выдачи;Партнер (для КП);Конечный заказчик;Дистрибьютор;Sale;Presale
2135;2203;2021-01-12;Borlas;РАН;;Филипчук;Неудачин
2136;2204;2021-01-13;Vybos;Бюро Инженерных Работ;;Толоко;Неудачин
2137;2205;2021-01-13;StepLogic;Сбербанк;;Толоко;Неудачин
2138;2206;2021-01-14;Marvel;Селектел;;Никитин;Неудачин
2139;2207;2021-01-14;DataPro;Макомнет;;Никитин;Неудачин
2140;2208;2021-01-14;Inzhenerie seti;Электромонтаж – 4;;Филипчук;Неудачин
2141;2209;2021-01-14;Sitronics;;;Филипчук;Неудачин
2142;2210;2021-01-15;DataPro;Макомнет;;Никитин;Неудачин
2143;2211;2021-01-15;Marvel;Ниагара;;Толоко;Неудачин
2144;2212;2021-01-15;Raiffeisenbank;;;Толоко;Неудачин
2145;2213;2021-01-15;Raiffeisenbank;;;Толоко;Неудачин
2146;2214;2021-01-15;NTC Sphere;Ланит;;Филипчук;Неудачин
2147;2215;2021-01-18;Marvel;Яндекс;;Толоко;Неудачин
2148;2216;2021-01-18;Energoperspectiva;Шахта Костромская;;Филипчук;Неудачин
2149;2217;2021-01-18;Icore;Сбербанк;;Толоко;Юль
2150;2218;2021-01-19;Selectel;;;Никитин;Неудачин
2151;2219;2021-01-19;ICL;Судебный департамент РТ;;Шивырталов;Неудачин
2152;2220;2021-01-20;Marvel;Яндекс;;Толоко;Неудачин
2153;2221;2021-01-20;Merlion;Яндекс;;Толоко;Неудачин
2154;2222;2021-01-20;Infoserv;Яндекс;;Толоко;Неудачин
2155;2223;2021-01-20;DS Group;МВК;;Филипчук;Неудачин
2156;2224;2021-01-21;Vybos;Квант;;Толоко;Неудачин
2157;2225;2021-01-21;VEST;Русгидро;;Толоко;Неудачин
2158;2226;2021-01-21;Raiffeisenbank;;;Толоко;Неудачин
2159;2227;2021-01-22;MayGK;ЦСРИРиСУ Кировской области;;Никитин;Неудачин
2160;2228;2021-01-22;Rubitech;ИФНС Кемерово;;Никитин;Неудачин
2161;2229;2021-01-22;Technoserv;;;Никитин;Неудачин
2162;2230;2021-01-22;Borlas;АО ГНПП Регион (Москва);;Филипчук;Неудачин
2163;2231;2021-01-22;Borlas;АО ГНПП Регион (Москва);;Филипчук;Неудачин
2164;2232;2021-01-22;MTS;Инновационный Научный Технический Центр Сириус, г. Сочи;;Филипчук;Неудачин
2165;2233;2021-01-22;Antex;АО Атом Безопасности;;Филипчук;Неудачин
2166;2234;2021-01-25;PAO MAK Vimpel;Министерство обороны РФ;;Филипчук;Неудачин
2167;2235;2021-01-25;Natsionalnie tekhnologii;НИИ Восход;;Филипчук;Антоновский
2168;2236;2021-01-25;Merlion;Яндекс;;Толоко;Неудачин
2169;2237;2021-01-25;Infoserv;Яндекс;;Толоко;Неудачин
2170;2238;2021-01-25;IVS;Яндекс;;Толоко;Неудачин
2171;2239;2021-01-25;Rubitech;;;Никитин;Неудачин
2172;2240;2021-01-26;Selectel;;;Никитин;Неудачин
2173;2241;2021-01-26;Natsionalnie tekhnologii;;;Никитин;Антоновский
2174;2242;2021-01-26;PRIDEX Construction;Сбербанк;;Филипчук;Неудачин
2175;2243;2021-01-26;MTO SET;;;Филипчук;Неудачин
2176;2244;2021-01-27;Oberon;ВНИИЭФ;;Филипчук;Юль
2177;2245;2021-01-27;Galard;МЭИ;;Филипчук;Неудачин
2178;2246;2021-01-27;Marvel;Авито;;Филипчук;Антоновский
2179;2247;2021-01-27;Rubitech;;;Никитин;Неудачин
2180;2248;2021-01-28;IClimat;Кадастровая палата;;Толоко;Антоновский
2181;2249;2021-01-28;Logicsystems;;;Никитин;Антоновский
2182;2250;2021-01-28;Softline;Хай-Тек Секьюрити;;Никитин;Антоновский
2183;2251;2021-01-28;Elvis plus;ФНС;;Толоко;Антоновский
2184;2252;2021-01-28;NTC Sphere;Ланит;;Филипчук;Неудачин
2185;2253;2021-01-28;Marvel;;;Толоко;Антоновский
2186;2254;2021-01-28;Servionica;;;Никитин;Антоновский
2187;2255;2021-01-29;NTC Sphere;Удмуртнефть;;Толоко;Неудачин
2188;2256;2021-01-29;Sonet;Гринатом;;Толоко;Антоновский
2189;2257;2021-01-29;ITER;"АО ""Ново-Широкинский рудник""";;Филипчук;Неудачин
2190;2258;2021-01-29;DataPro;;;Никитин;Неудачин
2191;2259;2021-01-29;DataPro;;;Никитин;Неудачин
2192;2260;2021-01-29;DataPro;;;Никитин;Неудачин
2193;2261;2021-01-29;DataPro;;;Никитин;Неудачин
